Price,Close,High,Low,Open,Volume,MA7,MA30,MA200,Volatility
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,
Date,,,,,,,,,
2022-04-18,40826.21484375,40986.3203125,38696.19140625,39721.203125,33705182072,40392.935267857145,43381.566015625,48124.98150390625,2597.2895723705924
2022-04-19,41502.75,41672.9609375,40618.6328125,40828.17578125,25303206547,40589.44475446428,43390.06354166667,48091.910546875,2590.4759906505947
2022-04-20,41374.37890625,42126.30078125,40961.09765625,41501.74609375,27819532341,40619.10881696428,43399.94296875,48060.225,2581.905273906317
2022-04-21,40527.36328125,42893.58203125,40063.828125,41371.515625,35372786395,40703.658482142855,43338.894791666666,48021.86205078125,2628.6010264791307
2022-04-22,39740.3203125,40777.7578125,39315.41796875,40525.86328125,28011716745,40587.49497767857,43233.806901041666,47974.999140625,2708.8382239921693
2022-04-23,39486.73046875,39935.859375,39352.203125,39738.72265625,16138021249,40453.53013392857,43084.666796875,47914.85873046875,2789.394425882158
2022-04-24,39469.29296875,39845.92578125,39233.5390625,39478.375,17964398167,40418.150111607145,42922.018880208336,47835.39794921875,2854.641454856593
2022-04-25,40458.30859375,40491.75390625,38338.37890625,39472.60546875,35445730570,40365.592075892855,42787.268229166664,47768.6595703125,2872.8986614103196
2022-04-26,38117.4609375,40713.890625,37884.984375,40448.421875,34569088416,39881.97935267857,42497.1671875,47689.40763671875,2890.938882542034
2022-04-27,39241.12109375,39397.91796875,37997.3125,38120.30078125,30981015184,39577.228236607145,42234.27109375,47610.77212890625,2812.852631201372
2022-04-28,39773.828125,40269.46484375,38941.421875,39241.4296875,33903704907,39469.580357142855,41977.874348958336,47535.78337890625,2666.2998480319425
2022-04-29,38609.82421875,39887.26953125,38235.53515625,39768.6171875,30882994649,39308.08091517857,41696.113020833334,47441.4085546875,2554.7284313243517
2022-04-30,37714.875,38771.2109375,37697.94140625,38605.859375,23895713731,39054.958705357145,41435.319661458336,47349.77763671875,2548.2722727008054
2022-05-01,38469.09375,38627.859375,37585.7890625,37713.265625,27002760110,38912.07310267857,41174.90130208333,47255.1176171875,2432.4966276045184
2022-05-02,38529.328125,39074.97265625,38156.5625,38472.1875,32922642426,38636.50446428572,40930.247265625,47161.156640625,2310.1235906674615
2022-05-03,37750.453125,38629.99609375,37585.62109375,38528.109375,27326943244,38584.07477678572,40640.14348958333,47041.93916015625,2132.2053464376313
2022-05-04,39698.37109375,39902.94921875,37732.05859375,37748.01171875,36754404490,38649.396205357145,40409.333333333336,46935.9701171875,1813.177172618244
2022-05-05,36575.140625,39789.28125,35856.515625,39695.74609375,43106256317,38192.44084821428,40109.97161458333,46811.077734375,1669.8662503087576
2022-05-06,36040.921875,36624.359375,35482.1328125,36573.18359375,37795577489,37825.454799107145,39871.111067708334,46681.151953125,1723.275916962525
2022-05-07,35501.953125,36129.92578125,34940.82421875,36042.50390625,24375896406,37509.32310267857,39604.38125,46537.3517578125,1760.477392449683
2022-05-08,34059.265625,35502.94140625,33878.96484375,35502.94140625,36763041910,36879.34765625,39330.101302083334,46377.68390625,1957.9242595539897
2022-05-09,30296.953125,34222.07421875,30296.953125,34060.015625,63355494961,35703.29408482143,38913.928515625,46218.1178125,2461.1167818549698
2022-05-10,31022.90625,32596.30859375,29944.802734375,30273.654296875,59811038817,34742.21595982143,38541.10299479167,46069.771015625,2772.4338841253048
2022-05-11,28936.35546875,32013.40234375,28170.4140625,31016.18359375,70388855818,33204.78515625,38188.25143229167,45907.48470703125,3271.9254087635386
2022-05-12,29047.751953125,30032.439453125,26350.490234375,28936.734375,66989173272,32129.443917410714,37818.93704427083,45748.06928710938,3649.0757442020617
2022-05-13,29283.103515625,30924.802734375,28782.330078125,29030.91015625,42841124537,31164.04129464286,37422.816145833334,45579.28568359375,3908.8857220404934
2022-05-14,30101.265625,30192.802734375,28702.91015625,29285.642578125,28579868620,30392.514508928572,37095.0078125,45427.973046875,4098.653834116479
2022-05-15,31305.11328125,31308.19140625,29527.740234375,30098.5859375,25835372065,29999.06417410714,36786.72942708333,45292.0866796875,4176.621390979979
2022-05-16,29862.91796875,31305.341796875,29251.884765625,31304.375,32613897286,29937.059151785714,36434.67721354167,45138.2905859375,4302.6395358239315
2022-05-17,30425.857421875,30694.490234375,29570.302734375,29862.408203125,29101473475,29851.766462053572,36124.9740234375,44979.28004882813,4391.699068080452
2022-05-18,28720.271484375,30618.716796875,28720.271484375,30424.478515625,31285268319,29820.897321428572,35721.442578125,44813.43724609375,4499.679781915237
2022-05-19,30314.333984375,30430.751953125,28708.955078125,28720.359375,33773447707,30001.83761160714,35348.495377604166,44658.414130859375,4467.534402393877
2022-05-20,29200.740234375,30664.9765625,28793.60546875,30311.119140625,30749382605,29990.071428571428,34942.707421875,44499.39580078125,4454.175687159721
2022-05-21,29432.2265625,29588.869140625,29027.39453125,29199.859375,17274840442,29894.49441964286,34572.86953125,44330.424921875,4435.0654731554205
2022-05-22,30323.72265625,30425.861328125,29275.18359375,29432.47265625,21631532270,29754.295758928572,34258.98294270833,44167.19330078125,4389.7267398213435
2022-05-23,29098.91015625,30590.5859375,28975.560546875,30309.396484375,31483454557,29645.151785714286,33912.722265625,44005.42669921875,4372.805609001986
2022-05-24,29655.5859375,29774.35546875,28786.58984375,29101.125,26616506245,29535.11300223214,33585.59869791667,43848.07625,4309.4078111865865
2022-05-25,29562.361328125,30157.78515625,29384.94921875,29653.134765625,27525063551,29655.411551339286,33222.40045572917,43688.25065429688,4167.004148098862
2022-05-26,29267.224609375,29834.16015625,28261.90625,29564.77734375,36774325352,29505.82449776786,32927.392578125,43517.9518359375,4121.535924610746
2022-05-27,28627.57421875,29346.943359375,28326.61328125,29251.140625,36582005748,29423.94363839286,32573.607682291666,43323.25556640625,4015.036610546604
2022-05-28,28814.900390625,28814.900390625,28554.56640625,28622.625,35519577634,29335.75418526786,32208.310091145835,43132.47092773437,3831.70299184984
2022-05-29,29445.95703125,29498.009765625,28841.107421875,29019.8671875,18093886409,29210.35909598214,31902.8478515625,42954.72456054688,3665.4419812624733
2022-05-30,31726.390625,31949.630859375,29303.572265625,29443.365234375,39277993274,29585.713448660714,31703.231705729166,42788.60670898438,3497.2134820421747
2022-05-31,31792.310546875,32249.86328125,31286.154296875,31723.865234375,33538210634,29890.959821428572,31480.672265625,42626.7885546875,3255.9210081962574
2022-06-01,29799.080078125,31957.28515625,29501.587890625,31792.5546875,41135817341,29924.776785714286,31189.663997395834,42453.436318359374,2982.9010134929663
2022-06-02,30467.48828125,30604.734375,29652.705078125,29794.890625,29083562061,30096.243024553572,30946.898502604166,42278.439560546874,2714.85559695285
2022-06-03,29704.390625,30633.03515625,29375.689453125,30467.806640625,26175547452,30250.07393973214,30613.7658203125,42109.172158203124,2160.5316894218445
